TIMESPAN,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,CUMUL_NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
2022-10-03 00:00:00.000,38651794845.1917,-38657628388.4613,-5833543.26955414,7276469249.56964,20120520548.7694,-20152837957.6143,-32317408.844841,18532557989.3029,-18506078414.2461,26479575.0568008
2022-10-10 00:00:00.000,15297920969.3928,-15641192412.1931,-343271442.800308,6933197806.76933,7573897569.94107,-7699644359.39432,-125746789.45325,7724520383.85555,-7942725479.93636,-218205096.080812
2022-10-17 00:00:00.000,12121963709.1216,-12240332217.1953,-118368508.07365,6814829298.69568,5821257410.46461,-5946988728.22607,-125731317.761456,6303130159.54455,-6294575106.29933,8555053.24521542
2022-10-24 00:00:00.000,33014755202.4986,-33031518679.3148,-16763476.8162422,6798065821.87944,16261937713.3974,-16297238338.4635,-35300625.066164,16754317867.2354,-16735779396.015,18538471.2203579
2022-10-31 00:00:00.000,25009738826.7807,-24851087203.9161,158651622.864517,6956717444.74396,12430888328.2565,-12299416074.5596,131472253.696886,12580115129.6165,-12552911477.0043,27203652.612278
2022-11-07 00:00:00.000,52212828286.0106,-52285164821.0786,-72336535.0679321,6884380909.67603,28512757039.7088,-28485737700.8676,27019338.8412132,23702648605.9279,-23800433208.1295,-97784602.2016335
2022-11-14 00:00:00.000,33240943630.8916,-33206694150.7918,34249480.0998611,6918630389.77589,19026781739.7662,-19014274578.0746,12507161.6915703,14216096771.073,-14193765480.6615,22331290.4114723
2022-11-21 00:00:00.000,38272635643.0259,-38606537892.9406,-333902249.914688,6584728139.8612,21380122194.7849,-21608305448.2926,-228183253.507755,16893821646.9838,-16999211559.6081,-105389912.62431
2022-11-28 00:00:00.000,26045172768.5266,-26091869881.3506,-46697112.8239861,6538031027.03721,15602948327.9902,-15635463785.7169,-32515457.7266655,10442888111.4426,-10456771449.0597,-13883337.6170921
2022-12-05 00:00:00.000,19416996184.0719,-19352957217.5494,64038966.5224419,6602069993.55966,10588700046.2828,-10545446707.0122,43253339.2706757,8829908458.34221,-8808608177.96548,21300280.3767262
2022-12-12 00:00:00.000,31890349625.0342,-31912051816.5326,-21702191.4983711,6580367802.06129,16676760359.2213,-16668313437.4963,8446921.72498703,15216578762.3064,-15244924904.3505,-28346142.0441895
2022-12-19 00:00:00.000,22930876835.8035,-22930041024.5828,835811.220745087,6581203613.28203,11913891309.5374,-11889661046.0035,24230263.5339603,11018433547.0202,-11041098985.0857,-22665438.0655136
2022-12-26 00:00:00.000,23992189678.2827,-24022825474.798,-30635796.5153427,6550567816.76669,13072336994.2077,-13013785883.7334,58551110.4742374,10920955177.0096,-11009837820.5115,-88882643.5019169
2023-01-02 00:00:00.000,21204783013.7303,-21208276567.8309,-3493554.10066223,6547074262.66603,11054904914.7069,-11075502298.235,-20597383.5280075,10150884223.9677,-10133384828.2388,17499395.7289295
2023-01-09 00:00:00.000,37511082523.7008,-37672765643.0917,-161683119.39093,6385391143.27509,18913422914.9463,-19131483127.2757,-218060212.329338,18600590433.9083,-18541604089.0979,58986344.8104286
2023-01-16 00:00:00.000,31552451473.8409,-31504264447.6474,48187026.1935158,6433578169.46861,16061981587.4316,-16056924795.9567,5056791.4748764,15492892736.7123,-15449279704.824,43613031.8883686
2023-02-20 00:00:00.000,19253716643.3945,-19236739340.6188,16977302.7756538,6450555472.24426,8463395421.26735,-8426745076.17668,36650345.0906677,10793875301.4713,-10811830871.6865,-17955570.215271
2023-02-27 00:00:00.000,12929035173.8759,-13010183071.7114,-81147897.8354607,6369407574.4088,6640789021.70534,-6654015601.5285,-13226579.8231592,6306169007.73267,-6370975942.81292,-64806935.0802479
2023-03-06 00:00:00.000,15701846737.8095,-15845134078.2398,-143287340.430254,6226120233.97855,7583120693.48124,-7662701215.32768,-79580521.8464422,8119595269.5456,-8230277230.56566,-110681961.020066
2023-03-13 00:00:00.000,30385409144.3215,-30505462949.5975,-120053805.275948,6106066428.7026,13848700529.2993,-13873839912.7796,-25139383.4802608,16539025811.8205,-16632760784.4138,-93734972.5932941
2023-03-20 00:00:00.000,33026706385.6591,-33110729983.5621,-84023597.9030876,6022042830.79951,15223341529.5119,-15225805743.8232,-2464214.31126785,17805148439.7635,-17886236736.1688,-81088296.4053192
2023-03-27 00:00:00.000,18046790807.9641,-17957412622.7321,89378185.2320251,6111421016.03154,8435425687.12181,-8316929392.48807,118496294.633734,9612934414.21387,-9641562484.95547,-28628070.7416058
2023-04-03 00:00:00.000,12682985688.111,-12678993477.8819,3992210.22909546,6115413226.26064,6067282737.93279,-6087845268.49747,-20562530.5646744,6620243749.04061,-6594514152.89834,25729596.1422701
2023-04-10 00:00:00.000,19009639996.7895,-18978521784.5061,31118212.283371,6146531438.54401,9052525067.56391,-9041071282.3283,11453785.2356052,9960262558.56262,-9939064669.29649,21197889.2661381
2023-04-17 00:00:00.000,8717787202.33891,-8657288082.48302,60499119.8558826,6207030558.39989,4402134232.55223,-4234324723.42539,167809509.126838,4317541036.31273,-4424689213.29475,-107148176.982017
2023-05-01 00:00:00.000,1737292663.27365,-1712985965.65058,24306697.6230645,6231337256.02295,642052851.215585,-590764096.232117,51288754.9834684,1110090945.44817,-1139489993.44611,-29399047.997941
2023-05-08 00:00:00.000,2831639996.05786,-2798425969.04379,33214027.0140648,6264551283.03702,883508282.193278,-813172142.438167,70336139.7551104,1955956716.36441,-1992905063.2289,-36948346.8644946
2023-05-15 00:00:00.000,3143796187.14164,-3122180168.38102,21616018.7606139,6286167301.79763,1104779353.31705,-1086977058.06834,17802295.248709,2076419561.9891,-2074324298.08053,2095263.90856719
2023-05-22 00:00:00.000,4724123906.68752,-4743454564.01346,-19330657.3259315,6266836644.4717,2019158995.77756,-2011496839.40217,7662156.37538528,2808715698.52687,-2847912526.11553,-39196827.5886688
2023-05-29 00:00:00.000,6398099661.74889,-6410150100.96115,-12050439.2122602,6254786205.25944,2665379592.47687,-2693455818.6719,-28076226.1950264,3772400022.19391,-3754134281.56342,18265740.630487
2023-06-05 00:00:00.000,9136917182.01462,-9147151929.52533,-10234747.5107079,6244551457.74873,4455482387.60081,-4435538582.72766,19943804.8731489,4705320067.99341,-4737144073.42017,-31824005.4267635
2023-06-12 00:00:00.000,19260815173.452,-19277586100.6595,-16770927.2075119,6227780530.54122,9778235989.86912,-9660837938.29764,117398051.571476,9502754316.6178,-9637819439.99163,-135065123.373829
2023-06-19 00:00:00.000,28349537955.9416,-28379521954.8236,-29983998.8819466,6197796531.65927,13227041089.9161,-13272908555.0739,-45867465.1577587,15163855286.9876,-15151612208.8784,12243078.1092091
2023-06-26 00:00:00.000,14622883087.4905,-14614736742.3077,8146345.18278885,6205942876.84206,7255734419.8449,-7200124162.2736,55610257.5712976,7391880169.07453,-7439389144.32244,-47508975.2479067
2023-07-03 00:00:00.000,10562751016.2288,-10553525852.9396,9225163.2891922,6215168040.13126,5108754734.19505,-5120792379.50247,-12037645.3074169,5478199258.05989,-5457002093.23612,21197164.8237715
2023-07-10 00:00:00.000,10662003090.2681,-11047747689.4417,-385744599.173578,5829423440.95768,5140929162.02523,-5504738835.87654,-363809673.851308,5536503724.13739,-5559697508.06026,-23193783.9228678
2023-07-17 00:00:00.000,7541138951.57572,-7513627051.48593,27511900.0897875,5856935341.04746,3408713061.16892,-3326652850.42116,82060210.7477536,4192279195.79207,-4248029302.81221,-55750107.0201368
2023-07-24 00:00:00.000,7731090645.3904,-7725668123.05627,5422522.33412933,5862357863.38159,3914372934.55093,-3876989237.28933,37383697.261601,3847136138.43792,-3879664672.06339,-32528533.625473
2023-08-07 00:00:00.000,10318584070.9447,-10289226302.3729,29357768.571804,5891715631.9534,4877388301.14987,-4834305308.40908,43082992.7407951,5492041622.55483,-5506225922.18736,-14184299.6325359
2023-08-14 00:00:00.000,11815943416.223,-11768478047.9131,47465368.3099422,5939181000.26334,5760550313.92925,-5624684808.71656,135865505.212695,6162208929.77012,-6251609879.39135,-89400949.6212339
2023-08-21 00:00:00.000,10045600974.0595,-10080591353.3655,-34990379.3060818,5904190620.95726,5425196119.77112,-5377293117.20158,47903002.5695372,4735681726.77279,-4820104483.10084,-84422756.3280525
2023-08-28 00:00:00.000,12104930739.9982,-12129758593.6355,-24827853.6373596,5879362767.3199,6396833340.86894,-6397298415.97635,-465075.107415199,5741890425.02659,-5767555220.4923,-25664795.4657049
2023-09-04 00:00:00.000,9014001507.58419,-8987461241.66037,26540265.9238243,5905903033.24372,4310908028.03443,-4271399402.36984,39508625.6645894,4771588021.06234,-4787282982.50694,-15694961.4445972
2023-09-11 00:00:00.000,11091063696.6456,-11094516338.7383,-3452642.09267998,5902450391.15104,5269722691.31797,-5210836811.4722,58885879.8457708,5869970392.82679,-5932996698.29552,-63026305.4687243
2023-09-18 00:00:00.000,11477736395.1733,-11492007286.7217,-14270891.5483894,5888179499.60265,5628073637.99906,-5589295595.85828,38778042.1407881,5910419707.46926,-5965420017.84114,-55000310.3718719
2023-09-25 00:00:00.000,5447567993.45558,-5457139799.9261,-9571806.47052193,5878607693.13213,2752292146.89916,-2718688995.32265,33603151.5765028,2714746257.82291,-2757980205.90231,-43233948.0793934
﻿
